,topik,berita
4,Berita Dunia Hiburan,Desta Ancam Polisikan Penyebar Fitnah
163,Berita dan Politik,				Ketua RT Minta Anggota Dewan Tak Politisasi Polemik Ruko Makan Jalan di Pluit			
162,Berita dan Politik,"				Terungkap, 2 Anggota DPR dari PDIP Provokasi Pemilik Ruko di Pluit Serang Ketua RT			"
160,Berita dan Politik,"				Mario Dandy Minta Maaf Sambil Senyum-senyum, Ayah David Ozora Soroti Hal Ini: Tunggu			"
146,Berita dan Politik,				Pimpinan Ponpes Gelar 'Pengajian Seks' Masuk Surga Renggut Keperawanan 41 Santriwati			
159,Berita dan Politik,"				12 Anak di Bandung Dicabuli Guru Ngaji, Pelaku Dinikahkan dengan Korban			"
156,Berita dan Politik,				Firli Bahuri Buka Suara soal Masa Jabatannya di KPK Diperpanjang MK			
155,Berita dan Politik,"				4 Hakim MK Lakukan Dissenting Opinion untuk Masa Jabatan Pimpinan KPK, Apa Artinya?			"
153,Berita dan Politik,"				Dugaan Pelanggaran HAM di Wadas, Ganjar Pranowo Disebut Mangkir dari Panggilan			"
152,Berita dan Politik,				Viral Diduga Bupati Purwakarta Anne Ratna Mustika Berduaan di Hotel			
150,Berita dan Politik,				Bejat Oknum Pimpinan Ponpes Buka Kelas Pengajian Seks - Per-kosa 41 Santriwati			
148,Berita dan Politik,"				Anggota DPRA Heran Konser Marak di Aceh, Sebut Langgar Syariat Islam			"
158,Berita dan Politik,				Sempurna! 6 Agama & Penghayat Kepercayaan Ramaikan Hari Raya di Balai Kota Solo			
124,Berita dan Politik,"				Hasil Piala Dunia U-20: Kalahkan Jepang, Israel Lolos ke 16 Besar			"
131,Berita dan Politik,				Bayi yang Ditemukan di Tempat Sampah di Wilayah Kramatjati Kini Dirawat di RS Polri			
122,Berita dan Politik,				Ganjar Pranowo Singgung 2 Kali Kekalahan Jokowi dan PDIP di Banten			
108,Berita dan Politik,"				Anak Menteri Nadiem Dibaptis Katolik, Media Sosial Heboh, Ini Hukum Nikah Beda Agama			"
107,Berita dan Politik,"				Ketua RT Ngaku Lapor soal Ruko Pluit Sejak 2019, Baru Ditangani Era Heru Budi			"
104,Berita dan Politik,				SBY VS Jokowi: Perbandingan Hasil Kinerja Pemerintahan Selama 8 Tahun			
103,Berita dan Politik,				'Ya Allah!' Dapat Orderan 110 Tusuk Sate Ternyata Fiktif.			
123,Berita dan Politik,				Puan Soal Survei Prabowo Salip Ganjar: Jadi Tantangan Bagi Kami			
102,Berita dan Politik,				Ustadz Abdul Somad atau UAS Mendapat Hadiah Mobil Jaguar dari Penggemarnya			
100,Berita dan Politik,"				Daftar Negara Terkaya di Dunia, Indonesia Kalah Jauh dari Thailand dan Malaysia			"
99,Berita dan Politik,				Jusuf Hamka Sebut Bohong Jika Jalan Tol Dibangun dengan Uang Pemerintah			
98,Berita dan Politik,				HNW Dukung Seruan Muhammadiyah-NU soal Kepemimpinan Moral di Pemilu 2024			
97,Berita dan Politik,"				Jepang Butuh Ratusan Ribu Tenaga Kerja Pertahun, Orang Indonesia Lebih Disukai			"
96,Berita dan Politik,"				Survei SMRC: Tingkat Kepercayaan Publik terhadap Kinerja Jokowi 79,6 Persen			"
95,Berita dan Politik,				Haedar Nashir Ungkap Keberadaan Aliran Baru Kristen Muhammadiyah			
94,Berita dan Politik,"				Spanduk 'Usir Kelompok Radikal' Terpasang di Bengkulu Utara, Siapa yang Radikal?			"
93,Berita dan Politik,				SBY: Pergantian Sistem Pemilu di Tengah Jalan Bisa Timbulkan 'Chaos' Politik			
92,Berita dan Politik,				Palguna: Putusan MK ubah masa jabatan pimpinan KPK tak masuk akal			
109,Berita dan Politik,				Dedi Mulyadi dan Anne Ratna Mustika Belum Resmi Bercerai			
110,Berita dan Politik,"				BREAKING NEWS: Argentina Umumkan Skuad, Lionel Messi Dipastikan Ikut ke Indonesia			"
105,Berita dan Politik,"				Wapres; Bank Syariah Bukan Hanya BSI, Harusnya tak Menyulitkan di Aceh			"
111,Berita dan Politik,				Kabid Dispenda Rohil Dona Ratna Sari Alumni IPDN Kepergok Ngamar Bareng Wabup Sule			
120,Berita dan Politik,"				Penculik Ancam Eksekusi Pilot Susi Air, Ini Reaksi Selandia Baru			"
118,Berita dan Politik,				NasDem Sumut: Pak Johnny Plate Terjebak di Sarang Penyamun			
115,Berita dan Politik,"				Pak Anies.. Proyek Tol Jokowi Dibela Pengusaha, Ini Alasannya			"
114,Berita dan Politik,"				Dibully karena Virgoun jadi Mualaf, bijaknya Eva Manurung mengutip ayat			"
116,Berita dan Politik,"				Budiman Khawatir Tokoh Konservatif Menang Pilpres, Sorot Anies-Prabowo			"
112,Berita dan Politik,				Prabowo saat Hadiri Haul Akbar: Inshaallah Saya Akan Nyapres			
117,Education,"				Duit Ditilep Pegawai Travel, Study Tour SMAN 21 Bandung Batal ! Waspada Penipuan !			"
3,Education,"Ngeri, Anak 4 Tahun China Lompat Lantai 26 Pakai Payung Setelah Tonton Tom and Jerry!"
126,Education,"				Jokowi Umumkan 3 Dokumen Indonesia Masuk Memory of the World, Ada yang Belum Masuk?			"
287,Education,				(EDUCATIONAL NASIONALISME) PEMILU itu Sebaiknya Bersifat LUBER & JURDIL			
2,Education,"Anak Usia 2 Tahun di Korut Dihukum Seumur Hidup Gegara Bawa Alkitab, Untung Kita RI!"
335,Education,				Mau Jadi Pemimpin? Emang Sanggup?			
49,Education,				Akhirnya 32 Biksu Thailand Membuat Pernyataan: Orang Luar Jangan Takut ke Indonesia!			
157,Education,"				9 Jurusan yang Banyak Peluang Kerjanya di Masa Depan, Tips Menentukan Jurusan Tepat!			"
91,Lowongan Kerja,				Admin Database Officer E-Commerce . Jaksel . Gaji UMR Jasel . Langsung KERJA Gpl			
161,Militer,				El Final Esta Cerca | Argentina Umumkan Pensiunnya Super Etendard			
128,Militer,"				Misteri di Laut Hitam, Ivan Khurs VS Drone Laut			"
263,Militer,"				Setelah 6 Bulan Tidur Pulas di Hanggar, B-2 Spirit Diberi Izin Untuk Kembali Terbang			"
113,Militer,				IDET 2023: Ceko Tawarkan Sistem Anti Drone Memakai Platform Pickup Toyota			
22,Militer,"				Dump Truck Semakin Jadi Andalan, Yonif 305 Pakai Toyota Dyna Lapis Baja di Papua			"
5,Militer,IDET 2023: KMW dari Jerman Perkenalkan Main Battle Tank Leopard 2A8
101,Militer,"				Turki Luncurkan Hizir Reis, Kapal Selam Kedua dari Keluarga Reis Class			"
62,Militer,"				Untuk Pertama Kali, MiG-29K Take-Off dan Landing di INS Vikrant Pada Malam Hari			"
298,Militer,				F-4 'Terminator' Phantom - Mengenal Jet Tempur Milik Turki yang Dimodifikasi Israel			
9,Militer,Kapal Induk USS Gerald R. Ford Mengunjungi Norwegia Pada Pelayaran Pertamanya
182,Penawaran Kerjasama & Investasi,				Sedang Membutuhkan Investor Untuk Kerjasama Coffeeshop			
7,Sains & Teknologi,"6 Teknologi Ini Terlihat Seperti dari Masa Depan, Padahal Sudah Ada Saat Ini"
149,Sains & Teknologi,				8 Hal-Hal Luar Biasa dalam Dunia Saintifik yang Mungkin Belum Kamu Ketahui			
106,Sains & Teknologi,				7 Penemuan Lawas dari Jepang yang Terlihat Agak Aneh			
0,Sains & Teknologi,Ini Dia Hal yang Terjadi Pada Tubuhmu Jika Berhenti Menghisap Tobacco 20 Menit
6,Sejarah & Xenology,10 Potret Bersejarah yang Menangkap Kejadian Di Luar Nalar ini Akan Membuatmu Kaget
259,Sejarah & Xenology,"				Dimakamkan di Makam Pahlawan itu Kehormatan Tapi Jenderal ini Malah Ogah, Alasannya..			"
139,Sejarah & Xenology,				Sedikit Tentang Samurai yang GanSis Mungkin Belum Tahu!			
119,Sejarah & Xenology,"				10 Potret Hitam-Putih Zaman Dahulu yang Kini Telah Diberi Warna, Wow Menakjubkan!			"
1,Sejarah & Xenology,Kisah Bersejarah Penemuan Bayi Beruang Oleh Tentara Polandia ini Membuatmu Terharu
154,Sejarah & Xenology,				Siapa Itu Yakov Dzhugashvili? Anak Tokoh Dunia Yang Jarang Dibicarakan!			
